timestamp,solar_mw
2025-01-01 08:00:00+00:00,-8.00012
2025-01-01 08:00:00+00:00,-6.70393
2025-01-01 08:00:00+00:00,-37.94342
2025-01-01 09:00:00+00:00,-37.88463
2025-01-01 09:00:00+00:00,-8.04204
2025-01-01 09:00:00+00:00,-6.74449
2025-01-01 10:00:00+00:00,-6.83352
2025-01-01 10:00:00+00:00,-37.57774
2025-01-01 10:00:00+00:00,-8.05763
2025-01-01 11:00:00+00:00,-6.82151
2025-01-01 11:00:00+00:00,-36.38921
2025-01-01 11:00:00+00:00,-8.054
2025-01-01 12:00:00+00:00,-6.78942
2025-01-01 12:00:00+00:00,-7.95181
2025-01-01 12:00:00+00:00,-36.19739
2025-01-01 13:00:00+00:00,-6.74302
2025-01-01 13:00:00+00:00,-8.00875
2025-01-01 13:00:00+00:00,-36.95731
2025-01-01 14:00:00+00:00,-8.24224
2025-01-01 14:00:00+00:00,-6.85994
2025-01-01 14:00:00+00:00,-23.26063
2025-01-01 15:00:00+00:00,136.33789
2025-01-01 15:00:00+00:00,74.24011
2025-01-01 15:00:00+00:00,1971.47862
2025-01-01 16:00:00+00:00,990.26425
2025-01-01 16:00:00+00:00,6656.64937
2025-01-01 16:00:00+00:00,385.99453
2025-01-01 17:00:00+00:00,8773.46321
2025-01-01 17:00:00+00:00,938.71465
2025-01-01 17:00:00+00:00,1463.06279
2025-01-01 18:00:00+00:00,1786.63685
2025-01-01 18:00:00+00:00,8656.73525
2025-01-01 18:00:00+00:00,1118.94435
2025-01-01 19:00:00+00:00,1949.36026
2025-01-01 19:00:00+00:00,1060.26637
2025-01-01 19:00:00+00:00,8260.62572
2025-01-01 20:00:00+00:00,976.37072
2025-01-01 20:00:00+00:00,1978.60652
2025-01-01 20:00:00+00:00,8240.27051
2025-01-01 21:00:00+00:00,881.86476
2025-01-01 21:00:00+00:00,1867.82228
2025-01-01 21:00:00+00:00,8401.21381
2025-01-01 22:00:00+00:00,7411.77457
2025-01-01 22:00:00+00:00,1401.71196
2025-01-01 22:00:00+00:00,931.77239
