timestamp,np15_lmp,sp15_lmp,solar_mw,hub_avg_lmp,curtailed_mw,potential_mw
2025-01-01 00:00:00-08:00,42.15472,41.35992,0.0,41.75732,0.0,0.0
2025-01-01 01:00:00-08:00,42.20734,41.38941,0.0,41.798375,0.0,0.0
2025-01-01 02:00:00-08:00,41.85056,41.17314,0.0,41.51185,0.0,0.0
2025-01-01 03:00:00-08:00,41.39496,40.83716,0.0,41.11606,0.0,0.0
2025-01-01 04:00:00-08:00,42.16713,41.51501,0.0,41.84107,0.0,0.0
2025-01-01 05:00:00-08:00,42.18,41.66169,0.0,41.920845,0.0,0.0
2025-01-01 06:00:00-08:00,42.43256,42.02276,0.0,42.22766,0.0,0.0
2025-01-01 07:00:00-08:00,38.18,38.48371,2182.05662,38.331855,0.0,2182.05662
2025-01-01 08:00:00-08:00,31.77,26.36094,8032.90815,29.06547,0.0,8032.90815
2025-01-01 09:00:00-08:00,31.87223,22.95627,11175.24065,27.41425,0.0,11175.24065
2025-01-01 10:00:00-08:00,30.50089,22.50321,11562.31645,26.50205,1.54,11563.856450000001
2025-01-01 11:00:00-08:00,27.46248,21.37186,11270.25235,24.41717,0.0,11270.25235
2025-01-01 12:00:00-08:00,24.94401,19.94409,11195.24775,22.44405,6.25,11201.49775
2025-01-01 13:00:00-08:00,23.28458,19.95329,11150.90085,21.618935,330.77,11481.67085
2025-01-01 14:00:00-08:00,28.06569,21.23309,9745.25892,24.64939,1385.64,11130.89892
2025-01-01 15:00:00-08:00,32.39461,31.87551,6840.552540000001,32.13506,551.22,7391.772540000001
2025-01-01 16:00:00-08:00,46.95426,44.57175,1161.66519,45.763005,0.0,1161.66519
2025-01-01 17:00:00-08:00,47.02741,45.86494,178.49595,46.446175,0.0,178.49595
2025-01-01 18:00:00-08:00,46.31712,45.62168,0.0,45.9694,0.0,0.0
2025-01-01 19:00:00-08:00,46.10823,45.49087,70.31730999999999,45.79955,0.0,70.31730999999999
2025-01-01 20:00:00-08:00,46.10606,45.42899,0.0,45.767525,0.0,0.0
2025-01-01 21:00:00-08:00,45.56278,45.3783,0.0,45.47054,0.0,0.0
2025-01-01 22:00:00-08:00,46.09088,44.71941,0.0,45.405145000000005,0.0,0.0
2025-01-01 23:00:00-08:00,45.09415,42.05664,0.0,43.575395,0.0,0.0
2025-01-02 00:00:00-08:00,43.05436,41.56954,0.0,42.31195,0.0,0.0
2025-01-02 01:00:00-08:00,42.04656,40.65756,0.0,41.35206,0.0,0.0
